,density,nelements,volume,band_gap,total_magnetization,energy_grav,energy_vol,num_steps,max_voltage_step,stability_discharge,e_fermi,nsites,num_unique_elements,avg_atomic_number,min_atomic_number,max_atomic_number,avg_atomic_mass,min_atomic_mass,max_atomic_mass,avg_electronegativity,min_electronegativity,max_electronegativity,avg_covalent_radius,min_covalent_radius,max_covalent_radius,std_electronegativity,ionic_radius_ion,atomic_weight_ion,charge_ion,atomic_number_ion,electronegativity_ion,working_ion_Li,working_ion_Mg,working_ion_Na,crystal_system_Cubic,crystal_system_Hexagonal,crystal_system_Monoclinic,crystal_system_Orthorhombic,crystal_system_Tetragonal,crystal_system_Triclinic,crystal_system_Trigonal,is_metal_False,is_metal_True,theoretical_False,theoretical_True,exp_band_gap,exp_energy_vol,theo_band_gap,theo_energy_vol,material_id,formula_pretty
2553,-0.1692572187009248,0.6657926694244705,-0.4040324751265208,-0.8088329732741192,-0.6112043312744765,1.285478816222862,1.1297239332101905,-0.338524243070804,-0.2807209093712016,-0.7159512860647302,0.0891150233052907,-0.2737217090349819,0.6657926694244705,-0.0703471579316378,0.4417349988383212,-0.4775224814606082,-0.1660647096942959,0.4065964612361117,-0.5407211013175413,0.196320861408495,1.2418747211282195,-0.0827529746914719,-0.441993582233432,0.3820071422726114,-0.4944119784397246,-1.2230339694381127,-0.0131492908306707,-0.7034641555777603,-0.6305282887554627,-0.7030258080972299,-0.6073079659770937,1,0,0,0,0,1,0,0,0,0,0,1,0,1,-0.0,0.0,-0.8088329732741192,1.1297239332101905,mp-765340,CoNi(PO4)2
289,0.497745755128532,-0.6561991151099974,-1.1919363243180965,0.6433121019061513,-0.7860296538678141,-0.1496612093729188,-0.0440214926966169,-0.338524243070804,-0.2807209093712016,2.4912179897649747,-0.6283694584859995,-1.2552435587855668,-0.6561991151099974,0.3064784344096523,0.4417349988383212,0.9002914861676423,0.3601488025161521,0.4065964612361117,0.8834487840511414,2.7151772128861005,1.6687620382347232,1.7241174339768628,-1.0132138648169606,-1.5543553622991026,0.0469465486083014,-0.0306394408178444,-0.6780932454973677,1.4429944633676537,1.5859716650838942,1.4529895410674205,1.5821495553169382,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0.0,-0.0,0.6433121019061513,-0.0440214926966169,mp-1101381,SbOF3
1589,-0.1930047606526638,-0.6561991151099974,1.8585237838792064,-0.8088329732741192,2.3266814959684363,-0.4172445273058002,-0.3437379622208359,-0.338524243070804,-0.2807209093712016,-0.7328957366922757,0.4200411218196863,2.309230527150768,-0.6561991151099974,-0.4075068984475287,0.4417349988383212,-0.53742743657488,-0.4432188194029752,0.4065964612361117,-0.5407211013175413,0.662387837045724,1.2418747211282195,-0.0827529746914719,-0.2173563924533931,0.3820071422726114,-0.4944119784397246,-0.8125441148359771,-0.0131492908306707,-0.7034641555777603,-0.6305282887554627,-0.7030258080972299,-0.6073079659770937,1,0,0,0,0,1,0,0,0,0,0,1,0,1,-0.0,-0.0,-0.8088329732741192,-0.3437379622208359,mp-705347,Co6P7O24
222,3.3641647251720563,0.6657926694244705,-0.8949731966099084,1.4896537090205302,-0.7860294572754767,-1.007492769981858,-1.127798628527929,-0.338524243070804,-0.2807209093712016,2.8236535776094827,1.9735769488704231,-0.996948335166992,0.6657926694244705,2.9640905067113814,0.4417349988383212,2.757345094710067,3.022027532285073,0.4065964612361117,2.8156850543444523,-0.1021714713029891,-0.4154525099911477,-0.0827529746914719,1.3294311143177375,0.3820071422726114,0.5496366094386114,-0.392681393290449,-0.6780932454973677,1.4429944633676537,1.5859716650838942,1.4529895410674205,1.5821495553169382,0,1,0,0,0,1,0,0,0,0,1,0,1,0,1.4896537090205302,-1.127798628527929,0.0,-0.0,mp-1078392,YSb(PbO3)2
751,-0.2353347954887917,-1.9781908996444653,-0.646339233684001,-0.8088329732741192,-0.1266365998093473,7.473805207152437,5.563906797331876,-0.338524243070804,-0.2807209093712016,-0.3738540445218389,1.9190452655419947,-0.8936302457195618,-1.9781908996444653,-0.0108483801935394,3.2133267046969745,-0.7171423019176952,-0.1242025360718234,3.2788498592923085,-0.6979746223395503,-0.5420549089830691,0.6894323107550971,-2.960361403311412,0.5399918473764554,3.571310090978964,-0.6104173770928731,-1.6195855442531826,-0.0131492908306707,-0.7034641555777603,-0.6305282887554627,-0.7030258080972299,-0.6073079659770937,1,0,0,0,0,0,0,0,0,1,0,1,0,1,-0.0,0.0,-0.8088329732741192,5.563906797331876,mp-1442954,CrS2
1621,-0.9258370446276154,-0.6561991151099974,-0.6852274674493178,-0.5893331554252077,-0.621523553173052,-0.2574439680648565,-0.29702028004547,-0.338524243070804,-0.2807209093712016,-0.0412766299028486,-0.0079788593986078,-0.3770397984824119,-0.6561991151099974,-0.8041654167015182,-1.2905098173233371,-0.4176175263463364,-0.7490261885361302,-1.2017296123814427,-0.4360663883300605,-0.5839485697145049,-1.0181169576709177,-0.0827529746914719,-1.5009974769107617,-0.9848369786015396,-0.8810966406168861,1.107528681281992,-0.0131492908306707,-0.7034641555777603,-0.6305282887554627,-0.7030258080972299,-0.6073079659770937,1,0,0,0,0,0,0,1,0,0,1,0,0,1,-0.0,-0.0,-0.5893331554252077,-0.29702028004547,mp-752512,Li6CuO4
2284,0.1921273924283845,-0.6561991151099974,-0.4297560111411059,-0.8088329732741192,1.6714218203793,-1.5990170216782542,-1.4588417802701308,-0.338524243070804,-0.2807209093712016,4.5066624912040725,0.355208358170501,-0.0670855301401219,-0.6561991151099974,-0.923162972177715,-1.2905098173233371,-0.5973323916891518,-0.8708312545411819,-1.2017296123814427,-0.6108381110419495,-0.6572624759945201,-1.0181169576709177,-0.0827529746914719,-0.1146651056968028,0.3820071422726114,-0.4170750460042923,1.137265263620472,-0.0131492908306707,-0.7034641555777603,-0.6305282887554627,-0.7030258080972299,-0.6073079659770937,1,0,0,0,0,1,0,0,0,0,0,1,0,1,-0.0,-0.0,-0.8088329732741192,-1.4588417802701308,mp-758888,Li6Fe7O15
2559,-0.713735927771931,-0.6561991151099974,2.229557237127609,-0.6891149074003413,-0.4585241934920847,0.019302882476416,-0.082361128283713,-0.338524243070804,-0.2807209093712016,-0.4335473594929199,-0.0041662153473286,1.9992762588084776,-0.6561991151099974,0.544473545362046,0.4417349988383212,0.9002914861676423,0.5493393827937636,0.4065964612361117,0.8834487840511414,0.8404358951543281,1.6687620382347232,-0.0827529746914719,0.1420631111946717,0.3820071422726114,0.0469465486083014,-1.0912453507961497,-0.0131492908306707,-0.7034641555777603,-0.6305282887554627,-0.7030258080972299,-0.6073079659770937,1,0,0,0,0,1,0,0,0,0,1,0,0,1,-0.0,-0.0,-0.6891149074003413,-0.082361128283713,mp-765584,Sb(PO3)4
3401,-0.934999589873925,0.6657926694244705,0.2296051922658781,-0.1783846146601527,0.6884737306703769,0.2845680708489434,0.0785442673324765,-0.338524243070804,-0.2807209093712016,-0.8495120225712817,-0.4731517745373156,0.346186827649598,0.6657926694244705,-0.9330794351340648,-1.2905098173233371,-0.53742743657488,-0.8731619893447339,-1.2017296123814427,-0.5407211013175413,-1.523937582376107,-1.1436720509375362,-0.0827529746914719,0.8288110913793636,0.3820071422726114,0.8589843391803406,0.7837319124062098,-0.0131492908306707,-0.7034641555777603,-0.6305282887554627,-0.7030258080972299,-0.6073079659770937,1,0,0,0,0,0,0,0,1,0,1,0,0,1,-0.0,0.0,-0.1783846146601527,0.0785442673324765,mp-861533,Na2Li2CoO4
941,-0.5007935635352574,0.6657926694244705,-0.810878441222507,-0.8088329732741192,-0.2945830582184718,1.9630159688299036,1.3105215173673863,1.9708144052042835,2.863867113736137,-0.4339607371071513,-0.6158147312136626,-0.7903121562721319,0.6657926694244705,-0.6950843241816712,0.4417349988383212,-0.6572373468034235,-0.6837332405882851,0.4065964612361117,-0.6312839090986572,1.563101542771604,0.4132111055685362,1.7241174339768628,-0.8848497563712244,-1.5543553622991026,-0.3010696473511439,0.5229977259660122,-0.0131492908306707,-0.7034641555777603,-0.6305282887554627,-0.7030258080972299,-0.6073079659770937,1,0,0,0,0,0,0,0,1,0,0,1,0,1,-0.0,0.0,-0.8088329732741192,1.3105215173673863,mp-25426,MnPO4F
