material_id,formula_pretty,theo_energy_vol,max_electronegativity,exp_energy_vol,crystal_system_Hexagonal,theoretical_False,atomic_weight_ion,energy_grav,ionic_radius_ion,avg_atomic_number,energy_vol,min_atomic_number,min_covalent_radius,crystal_system_Cubic,min_electronegativity,max_atomic_mass,nelements,max_covalent_radius,is_metal_False,stability_discharge,avg_atomic_mass
mp-780892,Na4Fe2As(CO4)4,-0.3896634018989587,-0.0827529746914719,-0.0,0,0,1.280440150771868,-0.4087638063016691,4.308986414502856,-0.3916405577173692,-0.3896634018989587,-0.2511629276263421,0.3820071422726114,0,-1.1436720509375362,-0.1782930583335248,1.9877844539589384,0.8589843391803406,0,-0.3971032079195798,-0.3934404606046855
mp-759723,Li2Zr7Fe(PO4)12,-0.1759172458465867,-0.0827529746914719,-0.0,0,0,-0.7034641555777603,-0.1329284030874324,-0.0131492908306707,-0.2012444689554545,-0.1759172458465867,-1.2905098173233371,0.3820071422726114,0,-1.0181169576709177,0.1911623493402341,1.9877844539589384,-0.4170750460042923,0,-0.3661070441701512,-0.2107669603802938
mp-774893,NbV3Cr2(PO4)6,-0.2793630464245892,-0.0827529746914719,-0.0,0,0,-0.7034641555777603,-0.2903488340823661,-0.0131492908306707,0.2509462418540935,-0.2793630464245892,0.4417349988383212,0.3820071422726114,0,0.5387661988351551,0.2293893000574388,1.9877844539589384,0.0856150148260176,1,0.0400276452330461,0.1853020702264385
mp-765139,VCrP2(O4F)2,0.6465432326501577,1.7241174339768628,0.0,0,0,-0.7034641555777603,1.0088877026104155,-0.0131492908306707,-0.510638113193566,0.6465432326501577,0.4417349988383212,-1.5543553622991026,0,0.6140992547951258,-0.6979746223395503,1.9877844539589384,-0.6104173770928731,1,-0.6153244831033172,-0.5152710643451872
mp-767157,Ti16CuS32,-0.2489625275057805,-2.960361403311412,-0.0,0,0,-0.7034641555777603,-0.251220642612237,-0.0131492908306707,0.2668125825842526,-0.2489625275057805,3.2133267046969745,-0.9848369786015396,0,0.3881000869152124,-0.4360663883300605,-0.6561991151099974,-0.6877543095283054,0,-0.5715524539016867,0.1504986944983248
mp-1220753,NaHf6(NCl)6,-0.5865412341287172,-1.0196487421491265,-0.0,0,0,1.280440150771868,-0.6947010913895496,4.308986414502856,0.7923851192707893,-0.5865412341287172,0.0952860356059895,0.7237181724911492,0,-1.1436720509375362,2.16941503949154,0.6657926694244705,0.8589843391803406,0,0.187415715322072,0.8569297975973982
mp-26870,LiCr2(PO4)3,0.5119637459408362,-0.0827529746914719,0.0,0,0,-0.7034641555777603,0.7421012406342666,-0.0131492908306707,-0.9033300462650156,0.5119637459408362,-1.2905098173233371,0.3820071422726114,0,-1.0181169576709177,-0.6979746223395503,0.6657926694244705,-0.6104173770928731,0,-0.5222656073889272,-0.8607586944062352
mp-689943,CoPO4,0.5995377141190061,-0.0827529746914719,0.0,0,0,-0.7034641555777603,0.9744031956225764,-0.0131492908306707,-0.4075068984475287,0.5995377141190061,0.4417349988383212,0.3820071422726114,0,1.2418747211282195,-0.5407211013175413,-0.6561991151099974,-0.4944119784397246,1,-0.8019631933220265,-0.4432188194029752
mp-1342713,Mg3Bi2(AsO6)2,0.0456363270167081,-0.0827529746914719,0.0,0,0,1.4429944633676537,-0.1770502916825328,-0.6780932454973677,1.6551173964732162,0.0456363270167081,0.4417349988383212,0.3820071422726114,0,-0.1894533421112337,2.860577132121187,0.6657926694244705,0.0856150148260176,0,-0.7970390409155097,1.725077877704618
mp-771910,Ti2Mn3Co3O16,1.3950481720301349,-0.0827529746914719,0.0,0,0,-0.7034641555777603,1.39139972929677,-0.0131492908306707,0.048650397544559,1.3950481720301349,0.4417349988383212,0.3820071422726114,0,0.3881000869152124,-0.5407211013175413,0.6657926694244705,-0.3010696473511439,0,0.2253182922223863,-0.0103926455909181
mp-1101589,Mo2P2O11,-0.3954202853380573,-0.0827529746914719,-0.0,0,0,-0.7034641555777603,-0.4583009524759596,-0.0131492908306707,0.1874808789334554,-0.3954202853380573,0.4417349988383212,0.3820071422726114,0,1.9449832434212853,0.2983828744280728,-0.6561991151099974,0.1629519472614499,1,-0.6872337981395712,0.1415846806419617
mp-756965,Mn5Co3O16,0.8008544562707846,-0.0827529746914719,0.0,0,0,-0.7034641555777603,0.605649187341409,-0.0131492908306707,-0.0108483801935394,0.8008544562707846,0.4417349988383212,0.3820071422726114,0,0.4132111055685362,-0.5407211013175413,-0.6561991151099974,-0.3010696473511439,1,-0.5002691095445024,-0.0646234285400169
mp-32077,Mo2(PO4)3,0.3099561324542366,-0.0827529746914719,0.0,0,0,-0.7034641555777603,0.450191515935837,-0.0131492908306707,0.1874808789334554,0.3099561324542366,0.4417349988383212,0.3820071422726114,0,1.9449832434212853,0.2983828744280728,-0.6561991151099974,0.1629519472614499,1,-0.8495120225712817,0.1415846806419617
mp-18536,AgF3,1.6710152985982707,1.7241174339768628,0.0,1,0,-0.7034641555777603,1.4981021509543957,-0.0131492908306707,0.9411320636160352,1.6710152985982707,0.7881839620706529,-1.5543553622991026,0,1.3674298143948385,0.5685423285500304,-1.9781908996444653,-1.2677813027940477,1,-0.3609711819254443,0.8900593183925022
mp-753234,LiMn7O12,0.5028806997655779,-0.0827529746914719,0.0,0,0,-0.7034641555777603,0.373157838231353,-0.0131492908306707,-0.962828824003114,0.5028806997655779,-1.2905098173233371,0.3820071422726114,0,-1.0181169576709177,-0.6312839090986572,-0.6561991151099974,-0.3010696473511439,1,-0.4086160414181299,-0.8850807094483049
mp-850395,LiMn3(BO3)3,0.0275111189196811,-0.0827529746914719,0.0,0,0,-0.7034641555777603,0.1355814755109741,-0.0131492908306707,-1.171074546086459,0.0275111189196811,-1.2905098173233371,0.3820071422726114,0,-1.0181169576709177,-0.6312839090986572,0.6657926694244705,-0.3010696473511439,0,-0.5210979262430966,-1.0648144322399564
mp-35171,NbO2F,-0.0232876525877523,1.7241174339768628,-0.0,0,0,-0.7034641555777603,-0.1381854067168797,-0.0131492908306707,-0.0901800838443378,-0.0232876525877523,0.4417349988383212,-1.5543553622991026,0,0.5387661988351551,0.2293893000574388,-0.6561991151099974,0.0856150148260176,1,1.0653872555663353,-0.0956901477608059
