material_id,energy_above_hull,elements,density,formula_pretty,nelements,volume,band_gap,is_metal,total_magnetization,theoretical,battery_type,working_ion,average_voltage,theoretical_capacity_grav,theoretical_capacity_vol,energy_grav,energy_vol,num_steps,max_voltage_step,stability_charge,stability_discharge
mp-1002568,0.071549737857137,"['Mg', 'Mn', 'O']",4.112036503035952,MgMn2O4,3.0,160.05862626445344,0.6492999999999991,False,5.9977781,True,insertion,Na,-0.27552629500000103,121.18129878290252,515.3670519985898,-33.38863427694127,-141.99717440224433,1.0,0.0,0.071549737857137,0.054909807812499004
mp-10033,0.0,"['Nb', 'S']",4.203264240289562,NbS2,2.0,124.07739745121462,0.0,True,1.7276673,False,insertion,Li,2.426251071666664,163.44620913789387,698.5407682632838,396.5615400806688,1694.8352876016477,2.0,0.48794149444442503,0.0,0.0
mp-1003637,0.029378997508326003,"['Li', 'Mn', 'O']",4.350042690634552,LiMn3O6,3.0,102.20862543874495,0.337099999999999,False,10.0005936,True,insertion,Li,2.341612886666654,49.40874576316023,213.4543090637522,115.69615579305244,499.8273608182089,1.0,0.0,0.029378997508326003,0.059105272857143
mp-1003854,0.15130931354166702,"['K', 'Mn', 'O']",3.781312336816018,KMnO2,3.0,221.3901031125307,1.332199999999999,False,15.999967,True,insertion,Mg,0.011718707500006,101.43516062851313,331.113425613278,1.188688977621696,3.880221384087084,1.0,0.0,0.15130931354166702,0.15879103083332802
mp-1004375,0.042390792996801006,"['Mg', 'Mn', 'O']",4.096518574599136,MgMn4O8,3.0,150.8128183873703,0.276599999999999,False,14.0003033,True,insertion,Na,-0.9502391924999981,231.0415463593404,829.0970768255723,-219.54473244645058,-787.8405367868411,1.0,0.0,0.042390792996801006,0.17166869676471003
mp-10062,0.004804307678565,"['Ba', 'Cu', 'Nb', 'Nd', 'O']",6.520796147877304,Ba2NdNb(CuO4)2,5.0,195.29058698959764,0.0,True,0.0013461,False,insertion,Mg,-1.879516537499998,67.74940532419697,393.2151545865617,-127.33612771261862,-739.0543858410609,1.0,0.0,0.004804307678565,0.38590746200000503
mp-1009555,0.19275830499996702,"['Cr', 'O']",5.153049976694693,CrO2,2.0,27.066846523119608,0.0,True,1.9987035,True,insertion,Li,-0.826594743333332,294.72937690575327,1423.4292269793689,-243.6217536562041,-1176.599116528175,1.0,0.0,0.19275830499996702,1.104617734999999
mp-1009813,0.19199882250000003,"['Si', 'Sn']",4.3612475613679145,SiSn,2.0,55.89218660970132,0.429199999999999,False,5.5e-06,True,insertion,Mg,-0.175472207499999,878.6812688657529,2730.97097185711,-154.18414193677424,-479.209505050186,1.0,0.0,0.19199882250000003,0.523977438333332
mp-1013526,0.017861314999999,"['S', 'V']",3.362890387239581,VS2,2.0,56.820383419963306,0.0,True,1.003633,True,insertion,Na,2.25870805,194.12744272985213,614.1949253241839,438.4772176198311,1387.2870220988834,1.0,0.0,0.017861314999999,0.0
mp-1014230,0.0,"['Ti', 'Zn']",6.171052034398381,TiZn,2.0,30.48090054332519,0.0,True,3e-07,True,insertion,Zn,0.095410487499999,439.199343619489,3045.74083955471,41.904223484415326,290.5956183005732,1.0,0.0,0.007985135416667,0.007890886830358
mp-1016153,0.020614296400028,"['K', 'Mn', 'O']",4.141919461118755,KMn8O16,3.0,589.0121648351693,0.0,True,0.4357272,True,insertion,K,-3.7924662695833353,94.38382417811337,384.73179537107586,-357.947469589779,-1459.0823567810432,1.0,0.0,0.020614296400028,0.17026151964285602
mp-1016165,0.02584797543667,"['Li', 'Mn', 'O']",4.009095949696769,LiMn8O16,3.0,581.8878050773939,0.0,True,50.0020865,True,insertion,Li,2.85389679166668,37.781729902406006,151.72081050327506,107.82515775209357,432.995534324365,1.0,0.0,0.02584797543667,0.034245027826923
mp-1016253,0.031588726249999005,"['Cd', 'Mg']",2.692782205271771,Mg7Cd,2.0,174.23565492709847,0.0,True,0.0,True,insertion,Mg,-0.0038430000704220003,2038.5415627392554,3760.2115098770164,-7.8341153691654455,-14.450493097259566,1.0,0.0,0.010341805624999001,0.007827643099999
mp-1016282,0.14106083463362,"['Mg', 'Mn']",2.315786247910669,Mg7Mn,2.0,161.38906792382713,0.0,True,3.5332855,True,insertion,Mg,-1.275031162816901,2070.410115625845,3701.924922528767,-2639.8374172342956,-4720.069638632721,1.0,0.0,0.14106083463362,0.018153133180460003
mp-1016298,0.18396058437499901,"['Mg', 'V']",2.116679392509112,Mg7V,2.0,173.43494071722748,0.0,True,3.2424374,True,insertion,Mg,-1.270314415598591,2072.6632791192715,3697.5142943047767,-2632.9340421470574,-4697.005709937211,1.0,0.0,0.18396058437499901,0.0115107451
mp-1016326,0.163549669374999,"['Cr', 'Mg']",2.121756537610511,Mg7Cr,2.0,173.84528475271367,0.0,True,4.2728016,True,insertion,Mg,-1.270437574260563,2072.0682428481964,3681.504763997967,-2632.4333521464105,-4677.121982002285,1.0,0.0,0.163549669374999,0.010655343366666
mp-1016331,0.18167606687500001,"['Mg', 'Nb']",2.530843294139372,Mg7Nb,2.0,172.58693520608082,0.0,True,0.0015821,True,insertion,Mg,-1.2714489955281691,2049.246252325041,3682.524990506049,-2605.512089108538,-4682.142700186296,1.0,0.0,0.18167606687500001,0.013537042166666001
mp-1019601,0.045055598958333005,"['Ce', 'O', 'Zr']",5.959605620009455,CeZr7O16,3.0,288.29378518644137,2.1576,False,0.002253,True,insertion,Mg,-2.01710150749999,50.61756847274629,283.45222010213496,-102.1007736723605,-571.7519004722353,1.0,0.0,0.045055598958333005,0.143757079750011
mp-102,0.0,['Co'],9.026471225712273,Co,1.0,10.841542632772713,0.0,True,1.837999599999999,False,insertion,Na,-0.8819979084482751,628.6385461641345,1355.5764220909682,-554.4578828867316,-1195.6155690260312,1.0,0.0,0.0,0.661498431336206
mp-1021489,0.11425780124999901,"['Ir', 'O']",7.321746567413168,IrO3,2.0,54.47972288011905,0.0,True,0.0009396,True,insertion,Ca,0.23626526500000003,191.23889659373748,1440.4589888927037,45.18310858202708,340.3304247323675,1.0,0.0,0.11425780124999901,0.30655283400000305
mp-1021672,0.167988803229167,"['C', 'Cu', 'N', 'O', 'Sr']",4.285351140024503,Sr2CuC(NO)2,5.0,120.43594651476373,0.0,True,0.006971799999999,True,insertion,Mg,-2.665979037499997,159.95445814312023,590.7051246280752,-426.43523236422925,-1574.8074796022715,1.0,0.0,0.167988803229167,0.78857264111111
mp-1022721,0.074061238,"['Al', 'Cu']",5.581466500966712,AlCu,2.0,26.932798830272144,0.0,True,0.0002755,True,insertion,Al,-0.013976348999999002,1112.936545960678,4418.979753458019,-15.554789581200643,-61.76120325826192,1.0,0.0,0.074061238,0.096245834999999
mp-1025280,0.027470969999982,"['Cu', 'F', 'O', 'Sr']",4.931293309587092,Sr2Cu(OF)2,4.0,103.97757510750009,0.0,True,0.0007220999999990001,True,insertion,Mg,-2.183386677499999,160.92800268995677,671.993991919539,-351.3680571099356,-1467.2227293171634,1.0,0.0,0.027470969999982,0.742168535
mp-1025467,0.0,"['Cu', 'Hg', 'S', 'Sn']",5.4569792595300814,Cu2SnHgS4,4.0,174.86452674954742,0.0,True,0.0001098,False,insertion,Mg,-0.9700168224999991,89.49384061080809,432.4752961102737,-86.81053090261743,-419.50831254263386,1.0,0.0,0.0,0.209477641944446
mp-1025500,0.0027631224999990003,"['Cu', 'S', 'Sn', 'Zn']",4.643424525032392,ZnCu2SnS4,4.0,157.15960498629568,0.0,True,0.0,False,insertion,Mg,-1.1972118074999991,115.57942258919778,476.19627197000096,-138.37304942781975,-570.1077994899663,1.0,0.0,0.0027631224999990003,0.236096013472222
mp-10335,0.0184028185,"['Ba', 'Cu', 'O', 'Te']",6.81517908227798,Ba2CuTeO6,4.0,136.88339784072446,0.0,True,0.8845678,False,insertion,Mg,-0.6922040625000021,91.45680643439476,476.7866420168674,-63.30677295716445,-330.03365054981015,1.0,0.0,0.0184028185,0.280332075000012
mp-10350,0.0,"['B', 'Ba', 'Cu', 'Nd', 'O']",6.126591975839927,BaNdCuBO5,5.0,236.30337204893846,0.0,True,0.0125822,False,insertion,Mg,-2.767430332500001,59.81465432804046,328.82189886027805,-165.53288871542162,-909.991696896181,1.0,0.0,0.0,0.378273116263167
mp-1038715,0.041189368333334,"['Ce', 'Mg']",5.547499839476751,CeMg,2.0,49.21631397382627,0.0,True,0.0,True,insertion,Mg,-0.025806178571428,1486.9325430217477,3290.91119917194,-38.372046728887554,-84.92584206854508,1.0,0.0,0.041189368333334,0.07455708531249901
mp-1038829,0.055305147500000006,"['Cd', 'Mg']",5.294064061719,MgCd,2.0,42.88241630298117,0.0,True,0.0,True,insertion,Mg,0.000989236071429,1573.2987384749006,3523.8145603279245,1.5563638632334271,3.48588447210381,1.0,0.0,0.055305147500000006,0.010228627812499001
mp-1038949,0.06925650500000001,"['Ce', 'Mg']",2.78786420974778,CeMg5,2.0,155.84155799453262,0.0,True,1.3551586,True,insertion,Mg,-0.059642919999999,345.54578254850287,865.0462359159982,-20.609359464877425,-51.59388344503819,1.0,0.0,0.06925650500000001,0.08849697000000001
mp-1038961,0.135871751249999,"['Ca', 'Mg']",1.631883430354595,CaMg,2.0,65.51355622934754,0.0,True,0.0052422,True,insertion,Mg,-0.009719396517857,1854.5308500621247,3299.6649409236165,-18.024920686352658,-32.07075193690864,1.0,0.0,0.135871751249999,0.045008384687499
mp-1039074,0.156762659999996,"['Bi', 'Mg']",6.887500884946844,MgBi,2.0,56.24384328052211,0.0,True,0.0003207,True,insertion,Mg,-1.270648180236486,2071.1115843759057,3803.179129393495,-2631.654165753951,-4832.502639877229,1.0,0.0,0.156762659999996,0.005512710616666
