material_id,energy_above_hull,elements,density,formula_pretty,nelements,volume,band_gap,is_metal,total_magnetization,theoretical,battery_type,working_ion,average_voltage,theoretical_capacity_grav,theoretical_capacity_vol,energy_grav,energy_vol,num_steps,max_voltage_step,stability_charge,stability_discharge,e_fermi,nsites,crystal_system
mp-1002568,0.071549737857137,"['Mg', 'Mn', 'O']",4.112036503035952,MgMn2O4,3.0,160.05862626445344,0.6492999999999991,False,5.9977781,True,insertion,Na,-0.275526295000001,121.18129878290252,515.3670519985898,-33.38863427694127,-141.99717440224433,1.0,0.0,0.071549737857137,0.054909807812499,3.07976824,14,Monoclinic
mp-10033,0.0,"['Nb', 'S']",4.203264240289562,NbS2,2.0,124.07739745121462,0.0,True,1.7276673,False,insertion,Li,2.426251071666664,163.44620913789387,698.5407682632838,396.5615400806688,1694.8352876016477,2.0,0.487941494444425,0.0,0.0,3.52598139,6,Hexagonal
mp-1003637,0.029378997508326,"['Li', 'Mn', 'O']",4.350042690634552,LiMn3O6,3.0,102.20862543874496,0.337099999999999,False,10.0005936,True,insertion,Li,2.341612886666654,49.40874576316023,213.4543090637522,115.69615579305244,499.8273608182089,1.0,0.0,0.029378997508326,0.059105272857143,2.60884303,10,Monoclinic
mp-1003854,0.151309313541667,"['K', 'Mn', 'O']",3.781312336816018,KMnO2,3.0,221.3901031125307,1.332199999999999,False,15.999967,True,insertion,Mg,0.011718707500006,101.43516062851312,331.113425613278,1.188688977621696,3.880221384087084,1.0,0.0,0.151309313541667,0.158791030833328,1.70624318,16,Tetragonal
mp-1004375,0.042390792996801,"['Mg', 'Mn', 'O']",4.096518574599136,MgMn4O8,3.0,150.8128183873703,0.276599999999999,False,14.0003033,True,insertion,Na,-0.950239192499998,231.0415463593404,829.0970768255723,-219.54473244645055,-787.8405367868411,1.0,0.0,0.042390792996801,0.17166869676471,2.75691845,13,Orthorhombic
mp-10062,0.004804307678565,"['Ba', 'Cu', 'Nb', 'Nd', 'O']",6.520796147877304,Ba2NdNb(CuO4)2,5.0,195.29058698959764,0.0,True,0.0013461,False,insertion,Mg,-1.879516537499998,67.74940532419697,393.2151545865617,-127.33612771261862,-739.0543858410609,1.0,0.0,0.004804307678565,0.385907462000005,3.4304772,14,Tetragonal
mp-1009555,0.192758304999967,"['Cr', 'O']",5.153049976694693,CrO2,2.0,27.066846523119608,0.0,True,1.9987035,True,insertion,Li,-0.826594743333332,294.72937690575327,1423.4292269793689,-243.6217536562041,-1176.599116528175,1.0,0.0,0.192758304999967,1.104617734999999,5.18651445,3,Cubic
mp-1009813,0.1919988225,"['Si', 'Sn']",4.3612475613679145,SiSn,2.0,55.89218660970132,0.429199999999999,False,5.5e-06,True,insertion,Mg,-0.175472207499999,878.6812688657529,2730.97097185711,-154.18414193677424,-479.209505050186,1.0,0.0,0.1919988225,0.523977438333332,5.53362695,2,Cubic
mp-1013526,0.017861314999999,"['S', 'V']",3.362890387239581,VS2,2.0,56.820383419963306,0.0,True,1.003633,True,insertion,Na,2.25870805,194.1274427298521,614.1949253241839,438.4772176198311,1387.2870220988834,1.0,0.0,0.017861314999999,0.0,4.57613559,3,Trigonal
mp-1014230,0.0,"['Ti', 'Zn']",6.171052034398381,TiZn,2.0,30.48090054332519,0.0,True,3e-07,True,insertion,Zn,0.095410487499999,439.199343619489,3045.74083955471,41.904223484415326,290.5956183005732,1.0,0.0,0.007985135416667,0.007890886830358,4.57170948,2,Cubic
mp-1016153,0.020614296400028,"['K', 'Mn', 'O']",4.141919461118755,KMn8O16,3.0,589.0121648351693,0.0,True,0.4357272,True,insertion,K,-3.7924662695833353,94.38382417811336,384.7317953710759,-357.947469589779,-1459.0823567810432,1.0,0.0,0.020614296400028,0.170261519642856,2.32299803,50,Tetragonal
mp-1016165,0.02584797543667,"['Li', 'Mn', 'O']",4.009095949696769,LiMn8O16,3.0,581.8878050773939,0.0,True,50.0020865,True,insertion,Li,2.85389679166668,37.781729902406006,151.72081050327506,107.82515775209356,432.995534324365,1.0,0.0,0.02584797543667,0.034245027826923,2.1559382,50,Monoclinic
mp-1016253,0.031588726249999,"['Cd', 'Mg']",2.692782205271771,Mg7Cd,2.0,174.23565492709847,0.0,True,0.0,True,insertion,Mg,-0.003843000070422,2038.5415627392556,3760.211509877016,-7.834115369165445,-14.450493097259566,1.0,0.0,0.010341805624999,0.007827643099999,3.50708564,8,Hexagonal
mp-1016282,0.14106083463362,"['Mg', 'Mn']",2.315786247910669,Mg7Mn,2.0,161.38906792382713,0.0,True,3.5332855,True,insertion,Mg,-1.275031162816901,2070.410115625845,3701.924922528767,-2639.837417234296,-4720.069638632721,1.0,0.0,0.14106083463362,0.01815313318046,3.96706617,8,Hexagonal
mp-1016298,0.183960584374999,"['Mg', 'V']",2.116679392509112,Mg7V,2.0,173.43494071722748,0.0,True,3.2424374,True,insertion,Mg,-1.270314415598591,2072.6632791192715,3697.5142943047767,-2632.9340421470574,-4697.005709937211,1.0,0.0,0.183960584374999,0.0115107451,3.5978086300000003,8,Hexagonal
mp-1016326,0.163549669374999,"['Cr', 'Mg']",2.121756537610511,Mg7Cr,2.0,173.84528475271367,0.0,True,4.2728016,True,insertion,Mg,-1.270437574260563,2072.0682428481964,3681.504763997967,-2632.4333521464105,-4677.121982002285,1.0,0.0,0.163549669374999,0.010655343366666,3.56442294,8,Hexagonal
