,stability_discharge,energy_grav,density,volume,e_fermi,total_magnetization,energy_vol,avg_electronegativity,avg_covalent_radius,band_gap,std_electronegativity,theo_energy_vol,avg_atomic_number,nsites,avg_atomic_mass,theo_band_gap,max_atomic_number,min_electronegativity,max_covalent_radius,max_voltage_step
2553,-0.7159512860647302,1.285478816222862,-0.1692572187009248,-0.4040324751265208,0.0891150233052907,-0.6112043312744765,1.1297239332101905,0.196320861408495,-0.441993582233432,-0.8088329732741192,-1.2230339694381127,1.1297239332101905,-0.0703471579316378,-0.2737217090349819,-0.1660647096942959,-0.8088329732741192,-0.4775224814606082,1.2418747211282195,-0.4944119784397246,-0.2807209093712016
289,2.4912179897649747,-0.1496612093729188,0.497745755128532,-1.1919363243180965,-0.6283694584859995,-0.7860296538678141,-0.0440214926966169,2.7151772128861005,-1.0132138648169606,0.6433121019061513,-0.0306394408178444,-0.0440214926966169,0.3064784344096523,-1.2552435587855668,0.3601488025161521,0.6433121019061513,0.9002914861676423,1.6687620382347232,0.0469465486083014,-0.2807209093712016
1589,-0.7328957366922757,-0.4172445273058002,-0.1930047606526638,1.8585237838792064,0.4200411218196863,2.3266814959684363,-0.3437379622208359,0.662387837045724,-0.2173563924533931,-0.8088329732741192,-0.8125441148359771,-0.3437379622208359,-0.4075068984475287,2.309230527150768,-0.4432188194029752,-0.8088329732741192,-0.53742743657488,1.2418747211282195,-0.4944119784397246,-0.2807209093712016
222,2.8236535776094827,-1.007492769981858,3.3641647251720563,-0.8949731966099084,1.9735769488704231,-0.7860294572754767,-1.127798628527929,-0.1021714713029891,1.3294311143177375,1.4896537090205302,-0.392681393290449,-0.0,2.9640905067113814,-0.996948335166992,3.022027532285073,0.0,2.757345094710067,-0.4154525099911477,0.5496366094386114,-0.2807209093712016
751,-0.3738540445218389,7.473805207152437,-0.2353347954887917,-0.646339233684001,1.9190452655419947,-0.1266365998093473,5.563906797331876,-0.5420549089830691,0.5399918473764554,-0.8088329732741192,-1.6195855442531826,5.563906797331876,-0.0108483801935394,-0.8936302457195618,-0.1242025360718234,-0.8088329732741192,-0.7171423019176952,0.6894323107550971,-0.6104173770928731,-0.2807209093712016
1621,-0.0412766299028486,-0.2574439680648565,-0.9258370446276154,-0.6852274674493178,-0.0079788593986078,-0.621523553173052,-0.29702028004547,-0.5839485697145049,-1.5009974769107617,-0.5893331554252077,1.107528681281992,-0.29702028004547,-0.8041654167015182,-0.3770397984824119,-0.7490261885361302,-0.5893331554252077,-0.4176175263463364,-1.0181169576709177,-0.8810966406168861,-0.2807209093712016
2284,4.5066624912040725,-1.5990170216782542,0.1921273924283845,-0.4297560111411059,0.355208358170501,1.6714218203793,-1.4588417802701308,-0.6572624759945201,-0.1146651056968028,-0.8088329732741192,1.137265263620472,-1.4588417802701308,-0.923162972177715,-0.0670855301401219,-0.8708312545411819,-0.8088329732741192,-0.5973323916891518,-1.0181169576709177,-0.4170750460042923,-0.2807209093712016
2559,-0.4335473594929199,0.019302882476416,-0.713735927771931,2.229557237127609,-0.0041662153473286,-0.4585241934920847,-0.082361128283713,0.8404358951543281,0.1420631111946717,-0.6891149074003413,-1.0912453507961497,-0.082361128283713,0.544473545362046,1.9992762588084776,0.5493393827937636,-0.6891149074003413,0.9002914861676423,1.6687620382347232,0.0469465486083014,-0.2807209093712016
3401,-0.8495120225712817,0.2845680708489434,-0.934999589873925,0.2296051922658781,-0.4731517745373156,0.6884737306703769,0.0785442673324765,-1.523937582376107,0.8288110913793636,-0.1783846146601527,0.7837319124062098,0.0785442673324765,-0.9330794351340648,0.346186827649598,-0.8731619893447339,-0.1783846146601527,-0.53742743657488,-1.1436720509375362,0.8589843391803406,-0.2807209093712016
941,-0.4339607371071513,1.9630159688299036,-0.5007935635352574,-0.810878441222507,-0.6158147312136626,-0.2945830582184718,1.3105215173673863,1.563101542771604,-0.8848497563712244,-0.8088329732741192,0.5229977259660122,1.3105215173673863,-0.6950843241816712,-0.7903121562721319,-0.6837332405882851,-0.8088329732741192,-0.6572373468034235,0.4132111055685362,-0.3010696473511439,2.863867113736137
3094,-0.5836833005984644,-0.609992970124978,2.3225728553024667,3.5579927224986614,3.0564482127602832,-0.7852189889815656,-0.4520291803204722,-1.3746914160203656,0.0778810569718025,-0.7798802360042272,0.600580421606122,-0.4520291803204722,0.4948912305802971,3.4457295110724973,0.5549969674373775,-0.7798802360042272,1.2597212168532728,-1.0181169576709177,1.3616744000106504,-0.2807209093712016
1392,-0.5207402934863737,-0.64756204553838,2.423951267019886,-0.7008932524785688,0.3318029368129057,-0.7859893852040225,-0.5117867648457516,0.0470746950527536,1.4064495793851797,2.262962286827809,0.7329821270926187,-0.0,2.2798545627232496,-0.8419712009958469,2.3068341578217053,0.0,2.218200498681621,-0.6414516778710617,1.3230059337929343,-0.2807209093712016
2496,0.6824518612616925,-0.4899981400691176,0.638708374932359,-0.748806529007754,0.7015154791403042,0.852306469843918,-0.3722156253733312,2.191506453743149,-1.244269260019287,-0.8088329732741192,1.2595174146256294,-0.3722156253733312,-0.7248337130507204,-0.583675977377272,-0.6955260675729452,-0.8088329732741192,-0.6572373468034235,0.4132111055685362,-0.3010696473511439,-0.2807209093712016
1470,2.266097196752592,-1.1190662028486302,0.263716033687136,-1.1901329141241983,1.5769091134127964,-0.5033636618952227,-1.0173106928415223,-0.5944219848973656,-0.4740846093448655,-0.8088329732741192,-2.707142624137631,-0.0,0.4254759898858491,-1.306902603509282,0.2764587193048463,-0.0,-0.4176175263463364,1.1163196278616012,-0.4170750460042923,-0.2807209093712016
3264,-0.8384025701519782,0.5743394136367639,-0.1606761371472558,-0.1393591318340246,0.2695935845326043,0.4426326617485407,0.6016248267234314,-1.1468946357931808,-0.1531743382305239,0.3149139262289572,0.2469589213211398,0.6016248267234314,-0.665334935312622,0.036232559307308,-0.6241661219294274,0.3149139262289572,-0.7171423019176952,-1.0181169576709177,-0.6104173770928731,-0.1968096473325416
