material_id,energy_above_hull,density,formula_pretty,nelements,volume,band_gap,total_magnetization,battery_type,average_voltage,theoretical_capacity_grav,theoretical_capacity_vol,energy_grav,energy_vol,num_steps,max_voltage_step,stability_charge,stability_discharge,e_fermi,nsites,num_unique_elements,avg_atomic_number,min_atomic_number,max_atomic_number,avg_atomic_mass,min_atomic_mass,max_atomic_mass,avg_electronegativity,min_electronegativity,max_electronegativity,avg_covalent_radius,min_covalent_radius,max_covalent_radius,std_electronegativity,ionic_radius_ion,atomic_weight_ion,charge_ion,atomic_number_ion,electronegativity_ion,working_ion_Li,working_ion_Mg,working_ion_Na,crystal_system_Cubic,crystal_system_Hexagonal,crystal_system_Monoclinic,crystal_system_Orthorhombic,crystal_system_Tetragonal,crystal_system_Triclinic,crystal_system_Trigonal,is_metal_False,is_metal_True,theoretical_False,theoretical_True
mp-1016253,0.031588726249999,2.692782205271771,Mg7Cd,2.0,174.23565492709847,0.0,0.0,insertion,-0.003843000070422,2038.541562739256,3760.211509877016,-7.834115369165445,-14.450493097259566,1.0,0.0,0.010341805624999,0.007827643099999,3.50708564,8,2.0,30.0,12.0,48.0,68.3575,24.305,112.41,1.5,1.31,1.69,165.5,158.0,173.0,0.268700576850888,0.72,24.305,2,12,1.31,0,1,0,0,1,0,0,0,0,0,0,1,0,1
mp-1016282,0.14106083463362,2.315786247910669,Mg7Mn,2.0,161.38906792382713,0.0,3.5332855,insertion,-1.275031162816901,2070.410115625845,3701.924922528767,-2639.837417234296,-4720.069638632721,1.0,0.0,0.14106083463362,0.01815313318046,3.96706617,8,2.0,18.5,12.0,25.0,39.621520000000004,24.305,54.93804,1.4300000000000002,1.31,1.55,185.0,173.0,197.0,0.16970562748477142,0.72,24.305,2,12,1.31,0,1,0,0,1,0,0,0,0,0,0,1,0,1
mp-1016298,0.183960584374999,2.116679392509112,Mg7V,2.0,173.43494071722748,0.0,3.2424374,insertion,-1.270314415598591,2072.6632791192715,3697.5142943047767,-2632.9340421470574,-4697.005709937211,1.0,0.0,0.183960584374999,0.0115107451,3.5978086300000003,8,2.0,17.5,12.0,23.0,37.62325,24.305,50.9415,1.47,1.31,1.63,176.0,173.0,179.0,0.2262741699796951,0.72,24.305,2,12,1.31,0,1,0,0,1,0,0,0,0,0,0,1,0,1
mp-1016326,0.163549669374999,2.121756537610511,Mg7Cr,2.0,173.84528475271367,0.0,4.2728016,insertion,-1.270437574260563,2072.0682428481964,3681.504763997967,-2632.4333521464105,-4677.121982002285,1.0,0.0,0.163549669374999,0.010655343366666,3.56442294,8,2.0,18.0,12.0,24.0,38.1505,24.305,51.996,1.4849999999999999,1.31,1.66,181.0,173.0,189.0,0.24748737341529153,0.72,24.305,2,12,1.31,0,1,0,0,1,0,0,0,0,0,0,1,0,1
mp-1016331,0.181676066875,2.530843294139372,Mg7Nb,2.0,172.58693520608082,0.0,0.0015821,insertion,-1.2714489955281691,2049.246252325041,3682.524990506049,-2605.512089108538,-4682.142700186296,1.0,0.0,0.181676066875,0.013537042166666,3.57756507,8,2.0,26.5,12.0,41.0,58.605684999999994,24.305,92.90637,1.455,1.31,1.6,190.0,173.0,207.0,0.2050609665440988,0.72,24.305,2,12,1.31,0,1,0,0,1,0,0,0,0,0,0,1,0,1
mp-1019601,0.045055598958333,5.959605620009455,CeZr7O16,3.0,288.29378518644137,2.1576,0.002253,insertion,-2.01710150749999,50.61756847274629,283.45222010213496,-102.1007736723605,-571.7519004722353,1.0,0.0,0.045055598958333,0.143757079750011,3.2081213,24,3.0,35.333333333333336,8.0,58.0,82.44500000000001,15.999,140.116,1.9633333333333336,1.12,3.44,191.0,152.0,235.0,1.2831341836820236,0.72,24.305,2,12,1.31,0,1,0,0,0,0,0,1,0,0,1,0,0,1
mp-102,0.0,9.026471225712273,Co,1.0,10.841542632772711,0.0,1.837999599999999,insertion,-0.8819979084482751,628.6385461641345,1355.5764220909682,-554.4578828867316,-1195.6155690260312,1.0,0.0,0.0,0.661498431336206,5.53986296,1,1.0,27.0,27.0,27.0,58.93319,58.93319,58.93319,1.88,1.88,1.88,192.0,192.0,192.0,0.0,1.02,22.99,1,11,0.93,0,0,1,1,0,0,0,0,0,0,0,1,1,0
mp-1021672,0.167988803229167,4.285351140024503,Sr2CuC(NO)2,5.0,120.43594651476371,0.0,0.006971799999999,insertion,-2.665979037499997,159.95445814312023,590.7051246280752,-426.4352323642293,-1574.8074796022715,1.0,0.0,0.167988803229167,0.78857264111111,2.86541012,8,5.0,17.6,6.0,38.0,38.6374,12.011,87.62,2.376,0.95,3.44,173.2,140.0,249.0,0.982766503295671,0.72,24.305,2,12,1.31,0,1,0,0,0,0,0,1,0,0,0,1,0,1
mp-1025280,0.027470969999982,4.931293309587092,Sr2Cu(OF)2,4.0,103.97757510750009,0.0,0.000722099999999,insertion,-2.183386677499999,160.92800268995677,671.993991919539,-351.3680571099356,-1467.2227293171634,1.0,0.0,0.027470969999982,0.742168535,1.95712789,7,4.0,21.0,8.0,38.0,46.54185079,15.999,87.62,2.5675,0.95,3.98,169.0,135.0,249.0,1.3926323994507668,0.72,24.305,2,12,1.31,0,1,0,0,0,0,0,1,0,0,0,1,0,1
mp-1025467,0.0,5.4569792595300814,Cu2SnHgS4,4.0,174.86452674954742,0.0,0.0001098,insertion,-0.9700168224999992,89.49384061080809,432.4752961102737,-86.81053090261743,-419.50831254263386,1.0,0.0,0.0,0.209477641944446,4.33187316,8,4.0,43.75,16.0,80.0,103.72999999999999,32.07,200.59,2.1100000000000003,1.9,2.58,186.5,140.0,217.0,0.31601687718643556,0.72,24.305,2,12,1.31,0,1,0,0,0,0,0,1,0,0,0,1,1,0
