,density,nelements,volume,band_gap,total_magnetization,energy_grav,energy_vol,num_steps,max_voltage_step,stability_discharge,e_fermi,nsites,num_unique_elements,avg_atomic_number,min_atomic_number,max_atomic_number,avg_atomic_mass,min_atomic_mass,max_atomic_mass,avg_electronegativity,min_electronegativity,max_electronegativity,avg_covalent_radius,min_covalent_radius,max_covalent_radius,std_electronegativity,ionic_radius_ion,atomic_weight_ion,charge_ion,atomic_number_ion,electronegativity_ion,working_ion_Li,working_ion_Mg,working_ion_Na,crystal_system_Cubic,crystal_system_Hexagonal,crystal_system_Monoclinic,crystal_system_Orthorhombic,crystal_system_Tetragonal,crystal_system_Triclinic,crystal_system_Trigonal,is_metal_False,is_metal_True,theoretical_False,theoretical_True,exp_band_gap,exp_energy_vol,theo_band_gap,theo_energy_vol,material_id,formula_pretty
2553,-0.16925721870092483,0.6657926694244705,-0.40403247512652085,-0.8088329732741192,-0.6112043312744765,1.2854788162228619,1.1297239332101903,-0.338524243070804,-0.2807209093712016,-0.7159512860647302,0.08911502330529072,-0.27372170903498194,0.6657926694244705,-0.07034715793163783,0.4417349988383212,-0.4775224814606082,-0.16606470969429596,0.4065964612361117,-0.5407211013175413,0.19632086140849503,1.2418747211282195,-0.08275297469147197,-0.441993582233432,0.3820071422726114,-0.4944119784397246,-1.2230339694381127,-0.013149290830670736,-0.7034641555777603,-0.6305282887554627,-0.7030258080972299,-0.6073079659770937,1,0,0,0,0,1,0,0,0,0,0,1,0,1,-0.0,0.0,-0.8088329732741192,1.1297239332101903,mp-765340,CoNi(PO4)2
289,0.49774575512853203,-0.6561991151099974,-1.1919363243180963,0.6433121019061513,-0.7860296538678141,-0.14966120937291885,-0.04402149269661697,-0.338524243070804,-0.2807209093712016,2.4912179897649747,-0.6283694584859995,-1.2552435587855668,-0.6561991151099974,0.3064784344096523,0.4417349988383212,0.9002914861676423,0.36014880251615217,0.4065964612361117,0.8834487840511414,2.7151772128861005,1.6687620382347232,1.7241174339768628,-1.0132138648169606,-1.5543553622991026,0.04694654860830145,-0.030639440817844442,-0.6780932454973677,1.4429944633676535,1.5859716650838942,1.4529895410674203,1.5821495553169382,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0.0,-0.0,0.6433121019061513,-0.04402149269661697,mp-1101381,SbOF3
1589,-0.19300476065266384,-0.6561991151099974,1.8585237838792064,-0.8088329732741192,2.3266814959684363,-0.4172445273058002,-0.34373796222083597,-0.338524243070804,-0.2807209093712016,-0.7328957366922757,0.42004112181968634,2.309230527150768,-0.6561991151099974,-0.40750689844752874,0.4417349988383212,-0.53742743657488,-0.44321881940297525,0.4065964612361117,-0.5407211013175413,0.662387837045724,1.2418747211282195,-0.08275297469147197,-0.2173563924533931,0.3820071422726114,-0.4944119784397246,-0.8125441148359771,-0.013149290830670736,-0.7034641555777603,-0.6305282887554627,-0.7030258080972299,-0.6073079659770937,1,0,0,0,0,1,0,0,0,0,0,1,0,1,-0.0,-0.0,-0.8088329732741192,-0.34373796222083597,mp-705347,Co6P7O24
222,3.3641647251720563,0.6657926694244705,-0.8949731966099084,1.4896537090205302,-0.7860294572754767,-1.007492769981858,-1.127798628527929,-0.338524243070804,-0.2807209093712016,2.8236535776094827,1.9735769488704231,-0.9969483351669919,0.6657926694244705,2.9640905067113814,0.4417349988383212,2.757345094710067,3.022027532285073,0.4065964612361117,2.8156850543444523,-0.10217147130298912,-0.41545250999114774,-0.08275297469147197,1.3294311143177375,0.3820071422726114,0.5496366094386114,-0.39268139329044904,-0.6780932454973677,1.4429944633676535,1.5859716650838942,1.4529895410674203,1.5821495553169382,0,1,0,0,0,1,0,0,0,0,1,0,1,0,1.4896537090205302,-1.127798628527929,0.0,-0.0,mp-1078392,YSb(PbO3)2
751,-0.23533479548879174,-1.9781908996444653,-0.646339233684001,-0.8088329732741192,-0.12663659980934736,7.473805207152437,5.563906797331876,-0.338524243070804,-0.2807209093712016,-0.37385404452183896,1.9190452655419947,-0.8936302457195618,-1.9781908996444653,-0.01084838019353941,3.2133267046969745,-0.7171423019176952,-0.12420253607182341,3.2788498592923085,-0.6979746223395503,-0.5420549089830691,0.6894323107550971,-2.960361403311412,0.5399918473764554,3.571310090978964,-0.6104173770928731,-1.6195855442531826,-0.013149290830670736,-0.7034641555777603,-0.6305282887554627,-0.7030258080972299,-0.6073079659770937,1,0,0,0,0,0,0,0,0,1,0,1,0,1,-0.0,0.0,-0.8088329732741192,5.563906797331876,mp-1442954,CrS2
1621,-0.9258370446276154,-0.6561991151099974,-0.6852274674493178,-0.5893331554252077,-0.621523553173052,-0.2574439680648565,-0.29702028004547,-0.338524243070804,-0.2807209093712016,-0.041276629902848624,-0.007978859398607874,-0.3770397984824119,-0.6561991151099974,-0.8041654167015182,-1.2905098173233371,-0.4176175263463364,-0.7490261885361302,-1.2017296123814427,-0.43606638833006056,-0.5839485697145049,-1.0181169576709177,-0.08275297469147197,-1.5009974769107617,-0.9848369786015397,-0.8810966406168861,1.107528681281992,-0.013149290830670736,-0.7034641555777603,-0.6305282887554627,-0.7030258080972299,-0.6073079659770937,1,0,0,0,0,0,0,1,0,0,1,0,0,1,-0.0,-0.0,-0.5893331554252077,-0.29702028004547,mp-752512,Li6CuO4
2284,0.19212739242838456,-0.6561991151099974,-0.42975601114110595,-0.8088329732741192,1.6714218203793,-1.5990170216782542,-1.4588417802701308,-0.338524243070804,-0.2807209093712016,4.5066624912040725,0.355208358170501,-0.06708553014012195,-0.6561991151099974,-0.923162972177715,-1.2905098173233371,-0.5973323916891518,-0.8708312545411819,-1.2017296123814427,-0.6108381110419495,-0.6572624759945201,-1.0181169576709177,-0.08275297469147197,-0.11466510569680284,0.3820071422726114,-0.41707504600429235,1.137265263620472,-0.013149290830670736,-0.7034641555777603,-0.6305282887554627,-0.7030258080972299,-0.6073079659770937,1,0,0,0,0,1,0,0,0,0,0,1,0,1,-0.0,-0.0,-0.8088329732741192,-1.4588417802701308,mp-758888,Li6Fe7O15
2559,-0.713735927771931,-0.6561991151099974,2.229557237127609,-0.6891149074003413,-0.45852419349208473,0.019302882476416067,-0.08236112828371307,-0.338524243070804,-0.2807209093712016,-0.43354735949291995,-0.004166215347328654,1.9992762588084778,-0.6561991151099974,0.544473545362046,0.4417349988383212,0.9002914861676423,0.5493393827937636,0.4065964612361117,0.8834487840511414,0.8404358951543281,1.6687620382347232,-0.08275297469147197,0.14206311119467174,0.3820071422726114,0.04694654860830145,-1.0912453507961495,-0.013149290830670736,-0.7034641555777603,-0.6305282887554627,-0.7030258080972299,-0.6073079659770937,1,0,0,0,0,1,0,0,0,0,1,0,0,1,-0.0,-0.0,-0.6891149074003413,-0.08236112828371307,mp-765584,Sb(PO3)4
3401,-0.934999589873925,0.6657926694244705,0.22960519226587817,-0.17838461466015273,0.6884737306703769,0.2845680708489434,0.07854426733247656,-0.338524243070804,-0.2807209093712016,-0.8495120225712817,-0.47315177453731566,0.346186827649598,0.6657926694244705,-0.9330794351340649,-1.2905098173233371,-0.53742743657488,-0.8731619893447339,-1.2017296123814427,-0.5407211013175413,-1.523937582376107,-1.1436720509375362,-0.08275297469147197,0.8288110913793636,0.3820071422726114,0.8589843391803406,0.7837319124062098,-0.013149290830670736,-0.7034641555777603,-0.6305282887554627,-0.7030258080972299,-0.6073079659770937,1,0,0,0,0,0,0,0,1,0,1,0,0,1,-0.0,0.0,-0.17838461466015273,0.07854426733247656,mp-861533,Na2Li2CoO4
941,-0.5007935635352574,0.6657926694244705,-0.810878441222507,-0.8088329732741192,-0.2945830582184718,1.9630159688299034,1.3105215173673863,1.9708144052042835,2.863867113736137,-0.4339607371071513,-0.6158147312136626,-0.7903121562721319,0.6657926694244705,-0.6950843241816712,0.4417349988383212,-0.6572373468034235,-0.6837332405882851,0.4065964612361117,-0.6312839090986572,1.563101542771604,0.41321110556853624,1.7241174339768628,-0.8848497563712244,-1.5543553622991026,-0.3010696473511439,0.5229977259660122,-0.013149290830670736,-0.7034641555777603,-0.6305282887554627,-0.7030258080972299,-0.6073079659770937,1,0,0,0,0,0,0,0,1,0,0,1,0,1,-0.0,0.0,-0.8088329732741192,1.3105215173673863,mp-25426,MnPO4F
3094,2.3225728553024667,0.6657926694244705,3.5579927224986614,-0.7798802360042272,-0.7852189889815656,-0.609992970124978,-0.45202918032047223,-0.338524243070804,-0.2807209093712016,-0.5836833005984644,3.0564482127602832,3.4457295110724973,0.6657926694244705,0.49489123058029716,-1.2905098173233371,1.2597212168532728,0.5549969674373775,-1.2017296123814427,1.2721061863542142,-1.3746914160203656,-1.0181169576709177,-0.08275297469147197,0.07788105697180255,-0.9848369786015397,1.3616744000106504,0.600580421606122,-0.013149290830670736,-0.7034641555777603,-0.6305282887554627,-0.7030258080972299,-0.6073079659770937,1,0,0,0,0,1,0,0,0,0,1,0,0,1,-0.0,-0.0,-0.7798802360042272,-0.45202918032047223,mp-775959,LiLa7(CuO7)2
1392,2.423951267019886,0.6657926694244705,-0.7008932524785688,2.262962286827809,-0.7859893852040225,-0.64756204553838,-0.5117867648457516,-0.338524243070804,-0.2807209093712016,-0.5207402934863737,0.3318029368129057,-0.8419712009958469,0.6657926694244705,2.2798545627232496,0.4417349988383212,2.218200498681621,2.3068341578217053,0.4065964612361117,2.225131176619108,0.04707469505275365,-0.6414516778710617,-0.08275297469147197,1.4064495793851797,0.3820071422726114,1.3230059337929343,0.7329821270926187,-0.013149290830670736,-0.7034641555777603,-0.6305282887554627,-0.7030258080972299,-0.6073079659770937,1,0,0,0,0,1,0,0,0,0,1,0,1,0,2.262962286827809,-0.5117867648457516,0.0,-0.0,mp-559702,Pr2Ta2Cl2O7
2496,0.638708374932359,-0.6561991151099974,-0.748806529007754,-0.8088329732741192,0.852306469843918,-0.4899981400691176,-0.3722156253733312,-0.338524243070804,-0.2807209093712016,0.6824518612616925,0.7015154791403042,-0.583675977377272,-0.6561991151099974,-0.7248337130507204,0.4417349988383212,-0.6572373468034235,-0.6955260675729452,0.4065964612361117,-0.6312839090986572,2.191506453743149,0.41321110556853624,1.7241174339768628,-1.244269260019287,-1.5543553622991026,-0.3010696473511439,1.2595174146256294,-0.6780932454973677,1.4429944633676535,1.5859716650838942,1.4529895410674203,1.5821495553169382,0,1,0,0,0,0,1,0,0,0,0,1,0,1,-0.0,-0.0,-0.8088329732741192,-0.3722156253733312,mp-763316,Mn3O5F
1470,0.26371603368713603,-0.6561991151099974,-1.1901329141241985,-0.8088329732741192,-0.5033636618952227,-1.1190662028486302,-1.0173106928415223,-0.338524243070804,-0.2807209093712016,2.266097196752592,1.5769091134127964,-1.306902603509282,-0.6561991151099974,0.4254759898858491,3.2133267046969745,-0.4176175263463364,0.2764587193048463,3.2788498592923085,-0.43606638833006056,-0.5944219848973656,1.1163196278616012,-2.960361403311412,-0.4740846093448655,-0.9848369786015397,-0.41707504600429235,-2.707142624137631,-0.6780932454973677,1.4429944633676535,1.5859716650838942,1.4529895410674203,1.5821495553169382,0,1,0,0,0,0,0,1,0,0,0,1,1,0,-0.8088329732741192,-1.0173106928415223,-0.0,-0.0,mp-640073,FeCuS2
3264,-0.1606761371472558,0.6657926694244705,-0.1393591318340246,0.31491392622895725,0.4426326617485407,0.5743394136367639,0.6016248267234314,1.9708144052042835,-0.1968096473325416,-0.8384025701519782,0.26959358453260435,0.03623255930730805,0.6657926694244705,-0.665334935312622,-1.2905098173233371,-0.7171423019176952,-0.6241661219294274,-1.2017296123814427,-0.6979746223395503,-1.1468946357931808,-1.0181169576709177,-0.08275297469147197,-0.15317433823052393,0.3820071422726114,-0.6104173770928731,0.24695892132113986,-0.013149290830670736,-0.7034641555777603,-0.6305282887554627,-0.7030258080972299,-0.6073079659770937,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0.0,0.0,0.31491392622895725,0.6016248267234314,mp-780611,LiV2CrO6
2239,-0.8660540456898719,0.6657926694244705,2.7167773050762727,2.21808053493538,4.128819108863399,-0.4807864590636755,-0.4488965522095398,-0.338524243070804,-0.2807209093712016,-0.05431898711735458,-0.5560877379647079,2.8258209743879177,0.6657926694244705,-0.8735806573959665,-1.2905098173233371,-0.5973323916891518,-0.8494403259587123,-1.2017296123814427,-0.6108381110419495,-0.8012719347588312,-1.0181169576709177,-0.08275297469147197,0.5399918473764554,0.3820071422726114,0.20162041347916604,0.10076093148693938,-0.013149290830670736,-0.7034641555777603,-0.6305282887554627,-0.7030258080972299,-0.6073079659770937,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0.0,-0.0,2.21808053493538,-0.4488965522095398,mp-758436,LiFeSiO4
446,0.08978358190813773,0.6657926694244705,-0.7475794666850913,0.3138119189280272,0.7702982056264017,0.1907696968713594,0.2745834783732227,-0.338524243070804,-0.2807209093712016,-0.5061086908077053,0.9316647670831029,-0.583675977377272,0.6657926694244705,-0.5760867687054744,-1.2905098173233371,-0.5973323916891518,-0.5661250600786738,-1.2017296123814427,-0.6108381110419495,-0.9897934080502946,-1.0181169576709177,-0.08275297469147197,0.13564490577238417,0.3820071422726114,-0.41707504600429235,0.1818612813762774,-0.013149290830670736,-0.7034641555777603,-0.6305282887554627,-0.7030258080972299,-0.6073079659770937,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0.0,0.0,0.3138119189280272,0.2745834783732227,mp-1177772,Li3Cr2Fe3O10
1774,-1.2891188971878147,-0.6561991151099974,-0.9933555697311641,2.4339737834357926,-0.7860305303419854,0.7597215067201736,0.2231934268131937,-0.338524243070804,-0.2807209093712016,-0.17219063961255202,-3.431614728195112,-1.1002664246144218,-0.6561991151099974,-1.0024946758285131,-1.2905098173233371,-0.777047257031967,-0.9008337987624772,-1.2017296123814427,-0.721878225659873,-0.3011663597773105,-1.0181169576709177,1.7241174339768628,-0.9361953997495185,-1.5543553622991026,-0.8810966406168861,2.6509690849042484,-0.013149290830670736,-0.7034641555777603,-0.6305282887554627,-0.7030258080972299,-0.6073079659770937,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0.0,0.0,2.4339737834357926,0.2231934268131937,mp-753694,LiVF6
2244,0.9868114502210779,0.6657926694244705,-0.385938088795612,-0.8088329732741192,0.09635556564687753,0.38153228882753065,0.642600609187127,-0.338524243070804,-0.2807209093712016,-0.594573009321532,0.8829984167098668,-0.27372170903498194,0.6657926694244705,1.0006308413541336,0.4417349988383212,0.9601964412819141,0.9890464764483413,0.4065964612361117,1.0158309968445824,-0.1414467782387098,0.41321110556853624,-0.08275297469147197,-0.2879566520985477,-0.9848369786015397,0.04694654860830145,-0.8079250676974138,-0.013149290830670736,-0.7034641555777603,-0.6305282887554627,-0.7030258080972299,-0.6073079659770937,1,0,0,0,0,1,0,0,0,0,0,1,0,1,-0.0,0.0,-0.8088329732741192,0.642600609187127,mp-758477,Mn3Cu3(TeO8)2
980,-0.8458660558175862,0.6657926694244705,-0.02688505603960716,0.6634487807686028,-0.6221976355328439,-0.09117970490638415,-0.15769901479917234,-0.338524243070804,-0.2807209093712016,-0.4443473782250969,-0.35267137747904787,0.03623255930730805,0.6657926694244705,-0.3678410466221299,-1.2905098173233371,0.36114689013919643,-0.3399590960418331,-1.2017296123814427,0.2983828744280728,-0.314258128755885,-1.0181169576709177,-0.08275297469147197,0.2511726033735474,0.3820071422726114,0.1629519472614499,0.010152408177034012,-0.013149290830670736,-0.7034641555777603,-0.6305282887554627,-0.7030258080972299,-0.6073079659770937,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0.0,-0.0,0.6634487807686028,-0.15769901479917234,mp-25974,Li3MoP2O9
3306,-0.1138909691865786,-1.9781908996444653,-0.8709798746099301,0.3475734153292519,0.5238765995320191,-0.3666880698200304,-0.2882472892821432,-0.338524243070804,-0.2807209093712016,0.5966360569764046,-1.0233912177059312,-0.8936302457195618,-1.9781908996444653,-0.3678410466221299,0.4417349988383212,-0.5973323916891518,-0.413951668765164,0.4065964612361117,-0.6108381110419495,1.0760877367686563,1.1163196278616012,-0.08275297469147197,-0.3457205008991293,0.3820071422726114,-0.41707504600429235,0.6264219672589794,-0.013149290830670736,-0.7034641555777603,-0.6305282887554627,-0.7030258080972299,-0.6073079659770937,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0.3475734153292519,-0.2882472892821432,0.0,-0.0,mp-796324,FeO2
2769,0.008840756177650776,-0.6561991151099974,-0.388156210139182,-0.8088329732741192,0.8522592385348409,-0.4796588544053977,-0.3837046916199232,-0.338524243070804,-0.2807209093712016,-0.5950282618304701,-0.11755598032281593,-0.17040361958755193,-0.6561991151099974,-0.9628288240031141,-1.2905098173233371,-0.6572373468034235,-0.8850807094483049,-1.2017296123814427,-0.6312839090986572,-0.9505181011145732,-1.0181169576709177,-0.08275297469147197,-0.03764664062936069,0.3820071422726114,-0.3010696473511439,1.3133866606609537,-0.013149290830670736,-0.7034641555777603,-0.6305282887554627,-0.7030258080972299,-0.6073079659770937,1,0,0,0,0,0,0,0,0,1,0,1,0,1,-0.0,-0.0,-0.8088329732741192,-0.3837046916199232,mp-770710,Li3Mn7O16
