,theo_energy_vol,max_electronegativity,exp_energy_vol,crystal_system_Hexagonal,theoretical_False,atomic_weight_ion,energy_grav,ionic_radius_ion,avg_atomic_number,energy_vol,min_atomic_number,min_covalent_radius,crystal_system_Cubic,min_electronegativity,max_atomic_mass,nelements,max_covalent_radius,is_metal_False,stability_discharge,avg_atomic_mass,formula_pretty
2331,0.1689132538232629,-0.0827529746914719,0.0,0,0,-0.7034641555777603,0.4448761721416869,-0.0131492908306707,-1.171074546086459,0.1689132538232629,-1.983407743788,-3.2629105133917915,0,-1.0181169576709177,-0.4360663883300605,0.6657926694244705,-0.8810966406168861,1,-0.1631021069428901,-1.0789149089664791,LiCu(HO)4
3344,0.9895441843034432,-0.0827529746914719,0.0,0,0,-0.7034641555777603,1.4054541972097383,-0.0131492908306707,-0.4075068984475287,0.9895441843034432,0.4417349988383212,0.3820071422726114,0,1.2418747211282195,-0.5407211013175413,-0.6561991151099974,-0.4944119784397246,0,-0.2017207148360661,-0.4432188194029752,Co3P4O15
1348,-0.0,1.7241174339768628,-0.349920518982468,0,1,1.4429944633676537,-0.5069946220880791,-0.6780932454973677,1.1791271745684289,-0.349920518982468,0.4417349988383212,-1.5543553622991026,0,1.292096758434867,2.29068984059512,0.6657926694244705,0.201620413479166,0,0.1394006482682522,1.2295802385719132,CuWO3F2
1380,-0.0,-0.0827529746914719,-0.5227790594477063,0,1,-0.7034641555777603,-0.6542362542223592,-0.0131492908306707,2.934341117842332,-0.5227790594477063,0.4417349988383212,0.3820071422726114,0,-1.4198932561240978,2.29068984059512,0.6657926694244705,3.797787771726768,1,-0.5372629604623569,2.973236309230769,RbNd(WO4)2
1679,-0.4378920022691099,-0.0827529746914719,-0.0,0,0,1.280440150771868,-0.5486109439988487,4.308986414502856,-0.6058361575745236,-0.4378920022691099,0.4417349988383212,0.3820071422726114,0,0.3881000869152124,-0.7915715669669681,-1.9781908996444653,-0.6877543095283054,1,-0.5946869304547896,-0.6028917059749459,Ti8O13
7,-0.858728030986518,-5.0349163169676485,-0.0,0,0,1.4429944633676537,-1.0784549858761303,-0.6780932454973677,1.4171222855208223,-0.858728030986518,2.520428778232311,6.988420393164342,1,1.292096758434867,0.814310813328539,-1.9781908996444653,0.4722996770031791,1,3.697934106450284,1.3623169163466398,SiSn
624,-0.6671896709088735,-0.0827529746914719,-0.0,0,0,1.4429944633676537,-0.7679824829608757,-0.6780932454973677,1.0997954709176303,-0.6671896709088735,0.4417349988383212,0.3820071422726114,0,-1.2441161255508313,1.2363924575432446,-0.6561991151099974,2.444391454106703,1,0.6399011050467402,1.12743535748411,Ba3Cr2O8
1170,0.6057910902565449,-0.0827529746914719,0.0,0,0,-0.7034641555777603,1.0201031490266184,-0.0131492908306707,-0.4471727502729279,0.6057910902565449,0.4417349988383212,0.3820071422726114,0,1.1163196278616012,-0.6108381110419495,-0.6561991151099974,-0.4170750460042923,0,-0.6832886375327464,-0.4920860323882113,Fe3(PO4)4
659,0.4844003094441503,-0.0827529746914719,0.0,0,0,1.4429944633676537,0.1347315076204479,-0.6780932454973677,1.2981247300446257,0.4844003094441503,0.4417349988383212,0.3820071422726114,0,-0.6414516778710617,1.3174915238827274,-0.6561991151099974,1.3230059337929343,0,0.057939885863045,1.244685135197087,Pr(FeO3)2
537,-0.7180707817722558,-0.0827529746914719,-0.0,0,0,1.4429944633676537,-0.7855394431299849,-0.6780932454973677,1.9823606740327573,-0.7180707817722558,0.4417349988383212,0.3820071422726114,0,0.2876560123019173,2.225131176619108,0.6657926694244705,0.4722996770031791,1,-0.3583865402989008,1.9689880198578384,TaMnNbO6
589,0.1815958008093323,-0.0827529746914719,0.0,0,0,1.4429944633676537,0.1795762039904103,-0.6780932454973677,-0.6058361575745236,0.1815958008093323,0.4417349988383212,0.3820071422726114,0,-0.1894533421112337,-0.6108381110419495,0.6657926694244705,0.201620413479166,0,-0.1383150285890476,-0.6443978486029318,Mg2Fe2(SiO4)3
1699,-0.0089534741415082,-0.0827529746914719,-0.0,0,0,-0.7034641555777603,-0.1911968447210412,-0.0131492908306707,0.197397341889805,-0.0089534741415082,-1.2905098173233371,0.3820071422726114,0,-1.0181169576709177,0.814310813328539,0.6657926694244705,0.4722996770031791,1,-0.6823297384074216,0.2243519023202595,Li3Fe3(SnO5)2
933,0.8169350207349014,1.7241174339768628,0.0,0,0,-0.7034641555777603,1.0312179297233652,-0.0131492908306707,-0.5760867687054744,0.8169350207349014,0.4417349988383212,-1.5543553622991026,0,1.292096758434867,-0.4360663883300605,0.6657926694244705,-0.9584335730523184,0,-0.401232314083886,-0.5816923499041543,CuPO4F
1629,0.2472770586356355,1.7241174339768628,0.0,0,0,-0.7034641555777603,0.5099599587289817,-0.0131492908306707,-0.923162972177715,0.2472770586356355,-1.2905098173233371,-1.5543553622991026,0,-1.0181169576709177,-0.6312839090986572,-0.6561991151099974,-0.3010696473511439,1,-0.0421928947737275,-0.8376951712019285,Li2MnF6
2317,-0.2996318599923229,1.7241174339768628,-0.0,0,0,1.4429944633676537,-0.4122235806400186,-0.6780932454973677,-0.7248337130507204,-0.2996318599923229,0.4417349988383212,-1.5543553622991026,0,0.4132111055685362,-0.6312839090986572,-0.6561991151099974,-0.3010696473511439,0,0.1640598365177173,-0.6955260675729452,Mn6O11F
2564,0.7440469196998076,-0.0827529746914719,0.0,0,0,-0.7034641555777603,0.6278971866909533,-0.0131492908306707,-0.248843491145933,0.7440469196998076,-1.2905098173233371,0.3820071422726114,0,-1.0181169576709177,-0.546165773182414,1.9877844539589384,-0.3010696473511439,0,-0.1406932241523592,-0.2919329462474463,Li4Mn2Fe3Ni3O16
2162,0.5877782994144436,-0.0827529746914719,0.0,0,0,-0.7034641555777603,0.63518573461442,-0.0131492908306707,-0.2091776393205347,0.5877782994144436,0.4417349988383212,0.3820071422726114,0,0.3881000869152124,-0.6312839090986572,-0.6561991151099974,-0.3010696473511439,1,-0.0329706386735673,-0.2394506663317738,TiMn5O12
2915,0.9676963708265216,-0.0827529746914719,0.0,0,0,-0.7034641555777603,0.8113754464658477,-0.0131492908306707,0.1081491752826574,0.9676963708265216,0.4417349988383212,0.3820071422726114,0,0.4132111055685362,-0.5407211013175413,0.6657926694244705,-0.3010696473511439,0,-0.0030265111533403,0.0385308094222003,Mn3Cr2Co3O16
