material_id,formula_pretty,theoretical_capacity_grav,average_voltage,energy_above_hull
mp-765340,CoNi(PO4)2,166.7529704263798,4.657738046666667,0.173630956562504
mp-1101381,SbOF3,244.69578115566853,0.8645780725000011,0.046805684899998
mp-705347,Co6P7O24,27.879233660782106,3.808891461666642,0.011383234504491
mp-1078392,YSb(PbO3)2,71.9148343192269,-1.7554161575000031,0.022194282843743
mp-1442954,CrS2,112.04951121254238,28.679700131666667,0.029461006666667
mp-752512,Li6CuO4,152.1682271301176,1.11137288166667,0.055213587386364
mp-758888,Li6Fe7O15,78.08902573405132,-4.599524273333335,0.119203429625001
mp-765584,Sb(PO3)4,60.28374590575401,4.613079489166674,0.095672713235283
mp-861533,Na2Li2CoO4,141.25868471545286,2.708155646666663,0.055879007222224
mp-25426,MnPO4F,293.2491818448629,3.55838652916667,0.033466397023802
mp-775959,LiLa7(CuO7)2,10.04678745722653,3.014695861666676,0.039521095625016
mp-559702,Pr2Ta2Cl2O7,32.15326859066299,0.481878336666663,0.0
mp-763316,Mn3O5F,97.12017392022544,0.7983910175000061,0.066702387407386
mp-640073,FeCuS2,136.97041830070955,-1.2424297975,0.123563266249999
mp-780611,LiV2CrO6,198.01721210397463,2.508152636666667,0.119495012687512
mp-758436,LiFeSiO4,56.83719174761925,1.42806621666666,0.059753280000003
mp-1177772,Li3Cr2Fe3O10,114.97200777375396,3.006073841666657,0.095132307654306
mp-753694,LiVF6,149.88475877757,3.800637396666668,0.049906925
mp-758477,Mn3Cu3(TeO8)2,119.86263559831389,3.510129041666668,0.065907822239588
mp-25974,Li3MoP2O9,81.30379577999798,2.885321631666665,0.062941811833352
mp-796324,FeO2,37.76497946200826,3.338998876666673,0.179825405833333
mp-770710,Li3Mn7O16,20.156029539197704,4.048977216666637,0.041005662155451
mp-540199,LiNi2(PO4)3,245.3191776493728,4.207771479166668,0.163844963333342
mp-504398,Mn4(PO4)3,52.38682662760285,3.123071696666651,0.038532755526315
mp-755923,Fe6O7F5,94.64421176041292,1.116783252499996,0.093409702237654
mp-767740,V(PO3)3,90.91461289534976,2.282661254166664,0.025071999102593
mp-1044853,TiO2,291.2625113196385,-0.046052959999999,0.177784685277778
mp-761526,FeCoO4,140.37459008034347,0.8089108075000021,0.124062842083335
mp-1192779,Cu2H4CO5,59.13779639276705,1.494269316666655,0.163715425833332
mp-763201,V6O7F5,51.58318989000849,1.7126726266666972,0.049257180138875
mp-584727,Co(PO3)4,70.20467759117658,5.247373531666648,0.084223830735297
mp-766455,LiMn2(PO4)2,85.43644118616756,4.130486779166668,0.076274503653861
mp-764378,LiCo3Sb(PO4)6,147.25542288517485,3.793745628666668,0.098683397857129
mp-1104976,MnRe2(HO5)2,87.34862529983636,2.131890137499998,0.112404742833346
mp-1178537,Co2C2O7,102.7567268307175,3.455274933333337,0.098001859848495
mp-774339,Fe3Ni2Sb(PO4)6,53.55931295033402,0.316669322500001,0.026537742083332
mp-31745,Cr(PO3)4,71.50399483378008,4.702158201666672,0.061035736176484
mp-1078758,Sr2NiRuO6,117.72984227429136,-1.300877859999995,0.0
mp-777401,Mn3(O2F)2,96.07607216712913,1.425651052500012,0.078954988425913
mp-753178,LiFe2(CO3)3,87.70155483437557,3.231400481666677,0.141168941000007
mp-754012,Mn(CO3)2,147.34439811401836,3.950942654166676,0.074035491574075
mp-781825,Li9Cu2(HO2)4,81.5802696522215,2.377509926666656,0.073704979293476
mp-505436,CuP4O11,72.3630070246014,1.503597621666666,0.0
mp-780467,V6O5F19,358.2360096002116,3.2042854930303,0.028663824416672
mp-761188,LiV3(CoO6)2,110.86291751356694,3.604661364166669,0.105595669777775
mp-759725,VOF3,204.7835654934413,3.983695894166667,0.047819652
mp-1178297,Fe3Sb(PO4)4,153.82276864261,2.426011371666663,0.07825367614583
mp-1276433,TiVO4,303.37618827033504,1.592683076666665,0.046975768333325
mp-768883,Sn2(SO4)3,50.326807881951645,2.787574511666671,0.082864726764701
mp-772437,V3Bi2(PO4)6,114.01795251186986,2.574000120666674,0.094466151714302
mp-758450,LiCu3(CO3)3,69.69629734272559,2.817317121666671,0.083148848750004
mp-1044440,Pr(SbO3)2,106.2014605474517,0.090761242499998,0.180110997916674
mp-1048131,Ba2YNi3O8,77.46761702434246,-0.362216267499998,0.074867713571427
mp-756542,MnVO4,151.57653161310955,3.221328221666668,0.082855709097223
mp-704959,CrP2O7,115.08687885832728,4.396092966666666,0.082192698500017
mp-1101496,Ni(PO3)3,88.58521173357572,5.337476889166675,0.075447044519244
mp-754713,Al2CrO5,135.2867603992254,0.656532394999996,0.038044880312497
mp-1104227,FeSeO5,118.09186927495992,2.214452832500005,0.129316949642855
mp-26950,Sn2(PO3)5,41.92836141452261,3.688791556666681,0.036432394715917
mp-628568,FeCu2SnS4,118.01309144348406,-1.199921762499999,0.043389335625
mp-1044794,BiPO4,21.8260293582276,-1.2820612675,0.103529155624999
mp-1370177,V4O9,144.068579010604,1.5533776700000002,0.140643361538463
mp-756471,FeCo5O12,187.9922543079969,3.310283174166662,0.068736536250001
mp-6265,Ba2TbSbO6,79.33648509319158,-2.710221757500004,0.0
mp-753215,Mn2F5,126.53601939740916,3.838590481666666,0.073384948214285
mp-1041395,BiO2,105.87959210704898,0.8368373574999991,0.175435638749999
mp-1395289,Zn(FeS2)2,84.41105643532246,-1.290752757499997,0.151087434999999
mp-1177952,Li2FeBAsO7,97.67431768552318,3.5402005616666603,0.095428422609124
mp-768612,LiCrAsCO7,101.21168290381378,4.015386011666672,0.069573240673406
mp-1386832,TeWO6,63.87557236467384,0.959338707499992,0.031393353906249
mp-1043735,TaTi(PO4)3,99.62746904110472,-0.9662771350000012,0.0
mp-755888,Mn2Co3Te3O16,112.46594856069304,3.132678124166661,0.15282933045138
